FILE                     	INSTRUME                 	DATE_OBS                 	XCEN                   	YCEN                   	FOVX                   	FOVY                  
eis_l0_20110131_140534        	EIS                           	2011-01-31 14:05:34           	-488.147                      	-261.520                      	59.904                        	368.000                       
eis_l0_20110131_140007        	EIS                           	2011-01-31 14:00:07           	-488.765                      	-261.520                      	59.904                        	368.000                       
eis_l0_20110131_135441        	EIS                           	2011-01-31 13:54:41           	-489.538                      	-261.520                      	59.904                        	368.000                       
eis_l0_20110131_134914        	EIS                           	2011-01-31 13:49:14           	-490.155                      	-261.597                      	59.904                        	368.000                       
eis_l0_20110131_134347        	EIS                           	2011-01-31 13:43:47           	-490.774                      	-261.674                      	59.904                        	368.000                       
eis_l0_20110131_133820        	EIS                           	2011-01-31 13:38:20           	-491.391                      	-261.751                      	59.904                        	368.000                       
eis_l0_20110131_133254        	EIS                           	2011-01-31 13:32:54           	-492.009                      	-261.751                      	59.904                        	368.000                       
eis_l0_20110131_132727        	EIS                           	2011-01-31 13:27:27           	-492.705                      	-261.906                      	59.904                        	368.000                       
eis_l0_20110131_132200        	EIS                           	2011-01-31 13:22:00           	-493.245                      	-261.906                      	59.904                        	368.000                       
eis_l0_20110131_131633        	EIS                           	2011-01-31 13:16:33           	-493.941                      	-261.906                      	59.904                        	368.000                       
eis_l0_20110131_131106        	EIS                           	2011-01-31 13:11:06           	-494.559                      	-261.983                      	59.904                        	368.000                       
eis_l0_20110131_130540        	EIS                           	2011-01-31 13:05:40           	-495.177                      	-262.138                      	59.904                        	368.000                       
eis_l0_20110131_130013        	EIS                           	2011-01-31 13:00:13           	-495.872                      	-262.060                      	59.904                        	368.000                       
eis_l0_20110131_125446        	EIS                           	2011-01-31 12:54:46           	-496.490                      	-262.292                      	59.904                        	368.000                       
eis_l0_20110131_124919        	EIS                           	2011-01-31 12:49:19           	-497.030                      	-262.292                      	59.904                        	368.000                       
eis_l0_20110131_124353        	EIS                           	2011-01-31 12:43:53           	-497.726                      	-262.215                      	59.904                        	368.000                       
eis_l0_20110131_123825        	EIS                           	2011-01-31 12:38:25           	-498.421                      	-262.447                      	59.904                        	368.000                       
eis_l0_20110131_123258        	EIS                           	2011-01-31 12:32:58           	-498.962                      	-262.369                      	59.904                        	368.000                       
eis_l0_20110131_122731        	EIS                           	2011-01-31 12:27:31           	-499.657                      	-262.447                      	59.904                        	368.000                       
eis_l0_20110131_102326        	EIS                           	2011-01-31 10:23:26           	-559.388                      	-263.683                      	239.616                       	512.000                       
eis_l0_20110131_001209        	EIS                           	2011-01-31 00:12:09           	-581.308                      	-270.017                      	59.904                        	368.000                       
eis_l0_20110131_000642        	EIS                           	2011-01-31 00:06:42           	-582.003                      	-269.940                      	59.904                        	368.000                       
eis_l0_20110131_000116        	EIS                           	2011-01-31 00:01:16           	-582.466                      	-270.094                      	59.904                        	368.000                       
eis_l0_20110130_235549        	EIS                           	2011-01-30 23:55:49           	-583.084                      	-270.017                      	59.904                        	368.000                       
eis_l0_20110130_235022        	EIS                           	2011-01-30 23:50:22           	-583.702                      	-270.171                      	59.904                        	368.000                       
eis_l0_20110130_234455        	EIS                           	2011-01-30 23:44:55           	-584.243                      	-270.249                      	59.904                        	368.000                       
eis_l0_20110130_233929        	EIS                           	2011-01-30 23:39:29           	-584.861                      	-270.249                      	59.904                        	368.000                       
eis_l0_20110130_233402        	EIS                           	2011-01-30 23:34:02           	-585.402                      	-270.403                      	59.904                        	368.000                       
eis_l0_20110130_232835        	EIS                           	2011-01-30 23:28:35           	-585.943                      	-270.403                      	59.904                        	368.000                       
eis_l0_20110130_232308        	EIS                           	2011-01-30 23:23:08           	-586.406                      	-270.558                      	59.904                        	368.000                       
eis_l0_20110130_231741        	EIS                           	2011-01-30 23:17:41           	-587.101                      	-270.403                      	59.904                        	368.000                       
eis_l0_20110130_231215        	EIS                           	2011-01-30 23:12:15           	-587.719                      	-270.480                      	59.904                        	368.000                       
eis_l0_20110130_230648        	EIS                           	2011-01-30 23:06:48           	-588.260                      	-270.635                      	59.904                        	368.000                       
eis_l0_20110130_230121        	EIS                           	2011-01-30 23:01:21           	-588.801                      	-270.712                      	59.904                        	368.000                       
eis_l0_20110130_225554        	EIS                           	2011-01-30 22:55:54           	-589.341                      	-270.635                      	59.904                        	368.000                       
eis_l0_20110130_225028        	EIS                           	2011-01-30 22:50:28           	-589.959                      	-270.867                      	59.904                        	368.000                       
eis_l0_20110130_224501        	EIS                           	2011-01-30 22:45:01           	-590.500                      	-270.789                      	59.904                        	368.000                       
eis_l0_20110130_223934        	EIS                           	2011-01-30 22:39:34           	-591.118                      	-271.021                      	59.904                        	368.000                       
eis_l0_20110130_223407        	EIS                           	2011-01-30 22:34:07           	-591.582                      	-271.021                      	59.904                        	368.000                       
eis_l0_20110130_222840        	EIS                           	2011-01-30 22:28:40           	-592.200                      	-271.021                      	59.904                        	368.000                       
eis_l0_20110130_222314        	EIS                           	2011-01-30 22:23:14           	-592.818                      	-271.253                      	59.904                        	368.000                       
eis_l0_20110130_221747        	EIS                           	2011-01-30 22:17:47           	-593.281                      	-271.253                      	59.904                        	368.000                       
eis_l0_20110130_221220        	EIS                           	2011-01-30 22:12:20           	-593.899                      	-271.253                      	59.904                        	368.000                       
eis_l0_20110130_220653        	EIS                           	2011-01-30 22:06:53           	-594.517                      	-271.253                      	59.904                        	368.000                       
eis_l0_20110130_220127        	EIS                           	2011-01-30 22:01:27           	-595.058                      	-271.485                      	59.904                        	368.000                       
eis_l0_20110130_215600        	EIS                           	2011-01-30 21:56:00           	-595.599                      	-271.407                      	59.904                        	368.000                       
eis_l0_20110130_215033        	EIS                           	2011-01-30 21:50:33           	-596.217                      	-271.407                      	59.904                        	368.000                       
eis_l0_20110130_214506        	EIS                           	2011-01-30 21:45:06           	-596.757                      	-271.485                      	59.904                        	368.000                       
eis_l0_20110130_213939        	EIS                           	2011-01-30 21:39:39           	-597.298                      	-271.407                      	59.904                        	368.000                       
eis_l0_20110130_213413        	EIS                           	2011-01-30 21:34:13           	-597.916                      	-271.639                      	59.904                        	368.000                       
eis_l0_20110130_212846        	EIS                           	2011-01-30 21:28:46           	-598.379                      	-271.562                      	59.904                        	368.000                       
eis_l0_20110130_212319        	EIS                           	2011-01-30 21:23:19           	-598.920                      	-271.794                      	59.904                        	368.000                       
eis_l0_20110130_211753        	EIS                           	2011-01-30 21:17:53           	-599.615                      	-271.716                      	59.904                        	368.000                       
eis_l0_20110130_211226        	EIS                           	2011-01-30 21:12:26           	-600.079                      	-271.948                      	59.904                        	368.000                       
eis_l0_20110130_210659        	EIS                           	2011-01-30 21:06:59           	-600.697                      	-271.948                      	59.904                        	368.000                       
eis_l0_20110130_210132        	EIS                           	2011-01-30 21:01:32           	-601.238                      	-272.103                      	59.904                        	368.000                       
eis_l0_20110130_205606        	EIS                           	2011-01-30 20:56:06           	-601.778                      	-272.103                      	59.904                        	368.000                       
eis_l0_20110130_205039        	EIS                           	2011-01-30 20:50:39           	-602.319                      	-272.103                      	59.904                        	368.000                       
eis_l0_20110130_204512        	EIS                           	2011-01-30 20:45:12           	-602.937                      	-272.180                      	59.904                        	368.000                       
eis_l0_20110130_203946        	EIS                           	2011-01-30 20:39:46           	-603.478                      	-272.412                      	59.904                        	368.000                       
eis_l0_20110130_183540        	EIS                           	2011-01-30 18:35:40           	-661.355                      	-273.648                      	239.616                       	512.000                       
eis_l0_20110130_174500        	EIS                           	2011-01-30 17:45:00           	-0.021                        	-0.346                        	1.000                         	256.000                       
eis_l0_20110130_174319        	EIS                           	2011-01-30 17:43:19           	-19.443                       	-0.346                        	40.000                        	256.000                       
eis_l0_20110130_164820        	EIS                           	2011-01-30 16:48:20           	-458.749                      	-356.806                      	109.824                       	200.000                       
eis_l0_20110130_163700        	EIS                           	2011-01-30 16:37:00           	-459.753                      	-356.884                      	109.824                       	200.000                       
eis_l0_20110130_162541        	EIS                           	2011-01-30 16:25:41           	-460.834                      	-357.115                      	109.824                       	200.000                       
eis_l0_20110130_161421        	EIS                           	2011-01-30 16:14:21           	-461.916                      	-357.270                      	109.824                       	200.000                       
eis_l0_20110130_160301        	EIS                           	2011-01-30 16:03:01           	-463.074                      	-357.347                      	109.824                       	200.000                       
eis_l0_20110130_155141        	EIS                           	2011-01-30 15:51:41           	-464.233                      	-357.656                      	109.824                       	200.000                       
eis_l0_20110130_154021        	EIS                           	2011-01-30 15:40:21           	-465.315                      	-357.656                      	109.824                       	200.000                       
eis_l0_20110130_152902        	EIS                           	2011-01-30 15:29:02           	-466.396                      	-357.810                      	109.824                       	200.000                       
eis_l0_20110130_151742        	EIS                           	2011-01-30 15:17:42           	-467.477                      	-357.810                      	109.824                       	200.000                       
eis_l0_20110130_150623        	EIS                           	2011-01-30 15:06:23           	-468.559                      	-357.965                      	109.824                       	200.000                       
eis_l0_20110130_145503        	EIS                           	2011-01-30 14:55:03           	-469.718                      	-358.120                      	109.824                       	200.000                       
eis_l0_20110130_144343        	EIS                           	2011-01-30 14:43:43           	-470.799                      	-358.351                      	109.824                       	200.000                       
eis_l0_20110130_143224        	EIS                           	2011-01-30 14:32:24           	-471.881                      	-358.351                      	109.824                       	200.000                       
eis_l0_20110130_142104        	EIS                           	2011-01-30 14:21:04           	-472.885                      	-358.660                      	109.824                       	200.000                       
eis_l0_20110130_140944        	EIS                           	2011-01-30 14:09:44           	-474.043                      	-358.737                      	109.824                       	200.000                       
eis_l0_20110130_135824        	EIS                           	2011-01-30 13:58:24           	-475.125                      	-358.815                      	109.824                       	200.000                       
eis_l0_20110130_134705        	EIS                           	2011-01-30 13:47:05           	-476.206                      	-359.046                      	109.824                       	200.000                       
eis_l0_20110130_133545        	EIS                           	2011-01-30 13:35:45           	-477.211                      	-359.124                      	109.824                       	200.000                       
eis_l0_20110130_132425        	EIS                           	2011-01-30 13:24:25           	-478.292                      	-359.201                      	109.824                       	200.000                       
eis_l0_20110130_131305        	EIS                           	2011-01-30 13:13:05           	-479.451                      	-359.201                      	109.824                       	200.000                       
eis_l0_20110130_130145        	EIS                           	2011-01-30 13:01:45           	-480.455                      	-359.510                      	109.824                       	200.000                       
eis_l0_20110130_125025        	EIS                           	2011-01-30 12:50:25           	-481.614                      	-359.510                      	109.824                       	200.000                       
eis_l0_20110130_123905        	EIS                           	2011-01-30 12:39:05           	-482.618                      	-359.742                      	109.824                       	200.000                       
eis_l0_20110130_122746        	EIS                           	2011-01-30 12:27:46           	-483.699                      	-359.819                      	109.824                       	200.000                       
eis_l0_20110130_121626        	EIS                           	2011-01-30 12:16:26           	-484.781                      	-360.051                      	109.824                       	200.000                       
eis_l0_20110130_120506        	EIS                           	2011-01-30 12:05:06           	-485.708                      	-360.128                      	109.824                       	200.000                       
eis_l0_20110130_115347        	EIS                           	2011-01-30 11:53:47           	-486.867                      	-360.205                      	109.824                       	200.000                       
eis_l0_20110130_114227        	EIS                           	2011-01-30 11:42:27           	-487.871                      	-360.282                      	109.824                       	200.000                       
eis_l0_20110130_113107        	EIS                           	2011-01-30 11:31:07           	-488.952                      	-360.514                      	109.824                       	200.000                       
eis_l0_20110130_111948        	EIS                           	2011-01-30 11:19:48           	-489.957                      	-360.669                      	109.824                       	200.000                       
eis_l0_20110130_110828        	EIS                           	2011-01-30 11:08:28           	-491.038                      	-360.746                      	109.824                       	200.000                       
eis_l0_20110130_105708        	EIS                           	2011-01-30 10:57:08           	-492.120                      	-360.900                      	109.824                       	200.000                       
eis_l0_20110130_104548        	EIS                           	2011-01-30 10:45:48           	-493.201                      	-361.055                      	109.824                       	200.000                       
eis_l0_20110130_103428        	EIS                           	2011-01-30 10:34:28           	-494.205                      	-361.209                      	109.824                       	200.000                       
eis_l0_20110130_102308        	EIS                           	2011-01-30 10:23:08           	-495.209                      	-361.364                      	109.824                       	200.000                       
eis_l0_20110130_101148        	EIS                           	2011-01-30 10:11:48           	-496.214                      	-361.518                      	109.824                       	200.000                       
eis_l0_20110130_100029        	EIS                           	2011-01-30 10:00:29           	-497.295                      	-361.518                      	109.824                       	200.000                       
eis_l0_20110130_094909        	EIS                           	2011-01-30 09:49:09           	-498.376                      	-361.673                      	109.824                       	200.000                       
eis_l0_20110130_093749        	EIS                           	2011-01-30 09:37:49           	-499.381                      	-361.982                      	109.824                       	200.000                       
eis_l0_20110130_092630        	EIS                           	2011-01-30 09:26:30           	-500.385                      	-362.136                      	109.824                       	200.000                       
eis_l0_20110130_091509        	EIS                           	2011-01-30 09:15:09           	-501.389                      	-362.214                      	109.824                       	200.000                       
eis_l0_20110130_090349        	EIS                           	2011-01-30 09:03:49           	-502.471                      	-362.291                      	109.824                       	200.000                       
eis_l0_20110130_085230        	EIS                           	2011-01-30 08:52:30           	-503.475                      	-362.368                      	109.824                       	200.000                       
eis_l0_20110130_084110        	EIS                           	2011-01-30 08:41:10           	-504.479                      	-362.445                      	109.824                       	200.000                       
eis_l0_20110130_082950        	EIS                           	2011-01-30 08:29:50           	-505.483                      	-362.754                      	109.824                       	200.000                       
eis_l0_20110130_081830        	EIS                           	2011-01-30 08:18:30           	-506.565                      	-362.677                      	109.824                       	200.000                       
eis_l0_20110130_080710        	EIS                           	2011-01-30 08:07:10           	-507.569                      	-362.986                      	109.824                       	200.000                       
eis_l0_20110130_075550        	EIS                           	2011-01-30 07:55:50           	-508.496                      	-363.063                      	109.824                       	200.000                       
eis_l0_20110130_074431        	EIS                           	2011-01-30 07:44:31           	-509.577                      	-363.218                      	109.824                       	200.000                       
eis_l0_20110130_073311        	EIS                           	2011-01-30 07:33:11           	-510.582                      	-363.450                      	109.824                       	200.000                       
eis_l0_20110130_072151        	EIS                           	2011-01-30 07:21:51           	-511.509                      	-363.759                      	109.824                       	200.000                       
eis_l0_20110130_071032        	EIS                           	2011-01-30 07:10:32           	-512.513                      	-363.759                      	109.824                       	200.000                       
eis_l0_20110130_065912        	EIS                           	2011-01-30 06:59:12           	-513.517                      	-363.681                      	109.824                       	200.000                       
eis_l0_20110130_064752        	EIS                           	2011-01-30 06:47:52           	-514.521                      	-363.836                      	109.824                       	200.000                       
eis_l0_20110130_063632        	EIS                           	2011-01-30 06:36:32           	-515.448                      	-363.913                      	109.824                       	200.000                       
eis_l0_20110130_062512        	EIS                           	2011-01-30 06:25:12           	-516.607                      	-364.299                      	109.824                       	200.000                       
eis_l0_20110130_061352        	EIS                           	2011-01-30 06:13:52           	-517.534                      	-364.299                      	109.824                       	200.000                       
eis_l0_20110130_060233        	EIS                           	2011-01-30 06:02:33           	-518.538                      	-364.454                      	109.824                       	200.000                       
eis_l0_20110130_055113        	EIS                           	2011-01-30 05:51:13           	-519.465                      	-364.763                      	109.824                       	200.000                       
eis_l0_20110130_045113        	EIS                           	2011-01-30 04:51:13           	-524.563                      	-365.381                      	109.824                       	200.000                       
eis_l0_20110130_043953        	EIS                           	2011-01-30 04:39:53           	-525.568                      	-365.535                      	109.824                       	200.000                       
eis_l0_20110130_042833        	EIS                           	2011-01-30 04:28:33           	-526.495                      	-365.612                      	109.824                       	200.000                       
eis_l0_20110130_041714        	EIS                           	2011-01-30 04:17:14           	-527.499                      	-365.767                      	109.824                       	200.000                       
eis_l0_20110130_040554        	EIS                           	2011-01-30 04:05:54           	-528.503                      	-365.999                      	109.824                       	200.000                       
eis_l0_20110130_035434        	EIS                           	2011-01-30 03:54:34           	-529.430                      	-366.076                      	109.824                       	200.000                       
eis_l0_20110130_034314        	EIS                           	2011-01-30 03:43:14           	-530.357                      	-366.153                      	109.824                       	200.000                       
eis_l0_20110130_033154        	EIS                           	2011-01-30 03:31:54           	-531.438                      	-366.308                      	109.824                       	200.000                       
eis_l0_20110130_032034        	EIS                           	2011-01-30 03:20:34           	-532.211                      	-366.462                      	109.824                       	200.000                       
eis_l0_20110130_030915        	EIS                           	2011-01-30 03:09:15           	-533.292                      	-366.617                      	109.824                       	200.000                       
eis_l0_20110130_025755        	EIS                           	2011-01-30 02:57:55           	-534.297                      	-366.771                      	109.824                       	200.000                       
eis_l0_20110130_024635        	EIS                           	2011-01-30 02:46:35           	-535.146                      	-366.926                      	109.824                       	200.000                       
eis_l0_20110130_023516        	EIS                           	2011-01-30 02:35:16           	-536.073                      	-367.003                      	109.824                       	200.000                       
eis_l0_20110130_022356        	EIS                           	2011-01-30 02:23:56           	-537.078                      	-367.312                      	109.824                       	200.000                       
eis_l0_20110130_021236        	EIS                           	2011-01-30 02:12:36           	-538.005                      	-367.389                      	109.824                       	200.000                       
eis_l0_20110130_020117        	EIS                           	2011-01-30 02:01:17           	-538.932                      	-367.466                      	109.824                       	200.000                       
eis_l0_20110130_014957        	EIS                           	2011-01-30 01:49:57           	-539.781                      	-367.621                      	109.824                       	200.000                       
eis_l0_20110130_013837        	EIS                           	2011-01-30 01:38:37           	-540.785                      	-367.621                      	109.824                       	200.000                       
eis_l0_20110130_012718        	EIS                           	2011-01-30 01:27:18           	-541.712                      	-367.853                      	109.824                       	200.000                       
eis_l0_20110130_011558        	EIS                           	2011-01-30 01:15:58           	-542.639                      	-367.930                      	109.824                       	200.000                       
eis_l0_20110130_010438        	EIS                           	2011-01-30 01:04:38           	-543.489                      	-368.239                      	109.824                       	200.000                       
eis_l0_20110130_005319        	EIS                           	2011-01-30 00:53:19           	-544.416                      	-368.316                      	109.824                       	200.000                       
eis_l0_20110130_004159        	EIS                           	2011-01-30 00:41:59           	-545.420                      	-368.393                      	109.824                       	200.000                       
eis_l0_20110130_003039        	EIS                           	2011-01-30 00:30:39           	-546.270                      	-368.625                      	109.824                       	200.000                       
eis_l0_20110130_001919        	EIS                           	2011-01-30 00:19:19           	-547.120                      	-368.702                      	109.824                       	200.000                       
eis_l0_20110130_000759        	EIS                           	2011-01-30 00:07:59           	-548.124                      	-368.780                      	109.824                       	200.000                       
eis_l0_20110129_235639        	EIS                           	2011-01-29 23:56:39           	-549.051                      	-369.011                      	109.824                       	200.000                       
eis_l0_20110129_234519        	EIS                           	2011-01-29 23:45:19           	-549.901                      	-369.243                      	109.824                       	200.000                       
eis_l0_20110129_233359        	EIS                           	2011-01-29 23:33:59           	-550.750                      	-369.243                      	109.824                       	200.000                       
eis_l0_20110129_232240        	EIS                           	2011-01-29 23:22:40           	-551.755                      	-369.475                      	109.824                       	200.000                       
eis_l0_20110129_231120        	EIS                           	2011-01-29 23:11:20           	-552.527                      	-369.629                      	109.824                       	200.000                       
eis_l0_20110129_230000        	EIS                           	2011-01-29 23:00:00           	-553.609                      	-369.707                      	109.824                       	200.000                       
eis_l0_20110129_224841        	EIS                           	2011-01-29 22:48:41           	-554.536                      	-369.784                      	109.824                       	200.000                       
eis_l0_20110129_223721        	EIS                           	2011-01-29 22:37:21           	-555.231                      	-370.016                      	109.824                       	200.000                       
eis_l0_20110129_222601        	EIS                           	2011-01-29 22:26:01           	-556.158                      	-370.093                      	109.824                       	200.000                       
eis_l0_20110129_221441        	EIS                           	2011-01-29 22:14:41           	-557.085                      	-370.325                      	109.824                       	200.000                       
eis_l0_20110129_220321        	EIS                           	2011-01-29 22:03:21           	-557.934                      	-370.479                      	109.824                       	200.000                       
eis_l0_20110129_215202        	EIS                           	2011-01-29 21:52:02           	-558.784                      	-370.634                      	109.824                       	200.000                       
eis_l0_20110129_214042        	EIS                           	2011-01-29 21:40:42           	-559.634                      	-370.865                      	109.824                       	200.000                       
eis_l0_20110129_212922        	EIS                           	2011-01-29 21:29:22           	-560.561                      	-370.788                      	109.824                       	200.000                       
eis_l0_20110129_211803        	EIS                           	2011-01-29 21:18:03           	-561.411                      	-371.174                      	109.824                       	200.000                       
eis_l0_20110129_210643        	EIS                           	2011-01-29 21:06:43           	-562.415                      	-371.252                      	109.824                       	200.000                       
eis_l0_20110129_205523        	EIS                           	2011-01-29 20:55:23           	-563.265                      	-371.252                      	109.824                       	200.000                       
eis_l0_20110129_204404        	EIS                           	2011-01-29 20:44:04           	-564.114                      	-371.561                      	109.824                       	200.000                       
eis_l0_20110129_203244        	EIS                           	2011-01-29 20:32:44           	-564.887                      	-371.715                      	109.824                       	200.000                       
eis_l0_20110129_202124        	EIS                           	2011-01-29 20:21:24           	-565.814                      	-371.792                      	109.824                       	200.000                       
eis_l0_20110129_201005        	EIS                           	2011-01-29 20:10:05           	-566.586                      	-371.870                      	109.824                       	200.000                       
eis_l0_20110129_195845        	EIS                           	2011-01-29 19:58:45           	-567.436                      	-372.101                      	109.824                       	200.000                       
eis_l0_20110129_194725        	EIS                           	2011-01-29 19:47:25           	-568.363                      	-372.179                      	109.824                       	200.000                       
eis_l0_20110129_193605        	EIS                           	2011-01-29 19:36:05           	-569.135                      	-372.410                      	109.824                       	200.000                       
eis_l0_20110129_192445        	EIS                           	2011-01-29 19:24:45           	-570.062                      	-372.565                      	109.824                       	200.000                       
eis_l0_20110129_191325        	EIS                           	2011-01-29 19:13:25           	-570.912                      	-372.642                      	109.824                       	200.000                       
eis_l0_20110129_190205        	EIS                           	2011-01-29 19:02:05           	-571.762                      	-372.797                      	109.824                       	200.000                       
eis_l0_20110129_185045        	EIS                           	2011-01-29 18:50:45           	-572.611                      	-372.874                      	109.824                       	200.000                       
eis_l0_20110129_183926        	EIS                           	2011-01-29 18:39:26           	-573.384                      	-373.106                      	109.824                       	200.000                       
eis_l0_20110129_182806        	EIS                           	2011-01-29 18:28:06           	-574.156                      	-373.337                      	109.824                       	200.000                       
eis_l0_20110129_181646        	EIS                           	2011-01-29 18:16:46           	-575.006                      	-373.415                      	109.824                       	200.000                       
eis_l0_20110129_180527        	EIS                           	2011-01-29 18:05:27           	-575.933                      	-373.724                      	109.824                       	200.000                       
